"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"2317","鴻海","115/02/02 至 115/02/06","16:30","台北市信義區松仁路7號、W Hotel","115年2月2日受UBS邀請參加投資人會議，說明本公司營運概況。
114年2月6日受Nomura邀請參加投資人會議，說明本公司營運概況。","231720251112M001.pdf","231720251112E001.pdf","","","無","查詢"
"2328","廣宇","115/02/03","11:00","無","本公司受邀參加BNP Paribas舉辦之投資人說明會議，說明本公司營運概況。","232820260202M001.pdf","232820260202E001.pdf","https://www.panpi.com.tw/tw/investor_service/corporate_governance/investor_meeting","","無","查詢"
"2344","華邦電","115/02/10","15:00","台北艾麗希爾頓格芮精選酒店5F楓柏廳 (台北市信義區松高路18號)","本公司舉行114年第四季度法人說明會，將於會中就公司114年第四季度財務數字與營運概況做說明","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","http://www.winbond.com/",同步收看網址：:https://wms.gridow.com/ir/winbond/winbond_25Q4.html 法說會影音連結資訊:未輸 ,"無","查詢"
"2409","友達","115/02/10","14:00","茹曦酒店5樓 斯賓諾莎宴會廳 (台北市松山區敦化北路100號)","114年第四季法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://auo.com/zh-TW/Investor_Conference/index",法說會影音連結資訊:未輸 ,"影音資訊於當日會後上傳","查詢"
"2412","中華電","115/02/03","16:00","電話會議","114年第4季營運成果資料於法人說明會當日15:30後至https://www.cht.com.tw/chtir下載","241220260203M003.pdf","241220260203E003.pdf","https://www.cht.com.tw/chtir",同步收看網址：:https://www.cht.com.tw/chtir 法說會影音連結資訊:https://www.cht.com.tw/chtir ,"電話會議時間16:00~17:00","查詢"
"2454","聯發科","115/02/04","15:00","線上法說會","&#8206;(1) 公布本公司2025年第4季財務報告及2026年第1季業績展望。 (2) 參加方式：請參見https://www.mediatek.com/zh-&#8206;tw/investor-relations/financial-information#quarterly-earnings-&#8206;release &#8206;","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.mediatek.com",:未輸 法說會影音連結資訊:未輸 ,"無","查詢"
"2474","可成","115/02/03","14:00","線上法說會","本公司受邀參加元富證券舉辦之法人座談會，會中就本公司已公開發佈之財務數字、經營績效等相關資訊進行說明，詳情請參閱公開資訊觀測站。","247420251106M001.pdf","247420251106E001.pdf","",法說會影音連結資訊:未輸 ,"無","查詢"
"3017","奇鋐","115/02/05","09:00","台北W飯店","受邀參加Nomura Asia Tech Tour，說明2025年第三季營運結果與未來展望","301720251112M001.pdf","301720251112E001.pdf","https://www.avc.co","","無","查詢"
"3034","聯詠","115/02/06","15:00","網路直播","本公司一一四年第四季自結數合併財務報告及一一五年第一季業績展望。法說會將於15:00進行網路直播，請連結至以下網址 https://www.zucast.com/webcast/GBKEy9ht 建議參與者於法說會前安裝或升級所需播放軟體，或至 http://www.zucast.com/help 尋求技術支援。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","www.novatek.com.tw",同步收看網址：:https://www.zucast.com/webcast/GBKEy9ht 法說會影音連結資訊:未輸 ,"無。","查詢"
"3035","智原","115/02/10","14:30","線上法說會","114年第四季線上法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.faraday-tech.com/tw/content/IR/InvestorConference",同步收看網址：:https://www.faraday-tech.com/tw/content/IR/InvestorConference 法說會影音連結資訊:未輸 ,"無","查詢"
"3376","新日興","115/02/05","15:30","台北W飯店(台北市信義區忠孝東路五段10號)","本公司受邀參加Nomura舉辦之「Nomura Asia Tech Tour 2026」，就公司營運概況等說明。","337620260202M001.pdf","337620260202E001.pdf","https://www.szs-group.com/investor/conference",法說會影音連結資訊:未輸 ,"無","查詢"
"3380","明泰","115/02/26","14:00","台北市大安區敦化南路二段333號18樓","本公司受邀參加國泰證券舉辦之法說會，說明本公司之營運成果及未來展望。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.alphanetworks.com/index.php/irnews",法說會影音連結資訊:未輸 ,"無","查詢"
"3443","創意","115/02/03","15:30","台北市信義區松仁路7號5F","本公司受邀參加UBS Corporate Day，說明本公司營運概況。","344320260129M002.pdf","344320260129E002.pdf","https://www.guc-asic.com/tw/investor/financial?financial-tab=option3","","無","查詢"
"3504","揚明光","115/02/06","15:00","線上法說會網路直播","114年度財務業務報告","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.youngoptics.com/investors-13-16-117",同步收看網址：:https://www.zucast.com/webcast/hyYr5TmS 法說會影音連結資訊:未輸 ,"無","查詢"
"3665","貿聯-KY","115/02/02","15:30","瑞銀證券","本公司受邀參加瑞銀證券所舉辦之投資論壇，說明營運概況。","366520251110M010.pdf","366520251110E010.pdf","http://www.bizlinktech.com","","無","查詢"
"3665","貿聯-KY","115/02/06","09:00","台北W酒店","本公司受邀參加野村證券所舉辦之投資論壇，說明營運概況。","366520251110M012.pdf","366520251110E012.pdf","http://www.bizlinktech.com","","無","查詢"
"3711","日月光投控","115/02/05","15:00","台北君悅酒店 (可同步線上收看)","詳 115 年02 月05 日公開資訊觀測站之重大訊息與公告-法說
會專區。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://ir.aseglobal.com/c/ir_events_details.php?id=21339",同步收看網址：:https://ir.aseglobal.com/c/ir_events_details.php?id=21339 法說會影音連結資訊:未輸 ,"無。","查詢"
"4919","新唐","115/02/12","13:30","線上法說會","本公司舉行114年第四季法人說明會，將於會中就公司114年第四季財務數字與營運概況做說明","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.nuvoton.com/about-nuvoton/investors/investor-conference/investor-conference-detail/",同步收看網址：:https://wms.gridow.com/ir/nuvoton/nuvoton_25Q4.html 法說會影音連結資訊:未輸 ,"無","查詢"
"5388","中磊","115/02/02","10:30","台北市信義區松仁路7號5F","本公司受邀參加UBS證券舉辦之法人說明會","538820260128M001.pdf","538820260128E001.pdf","http://www.sercomm.com","","無","查詢"
"6202","盛群","115/02/10","14:30","宏遠證券總公司 (台北市大安區信義路四段236號7樓)","本公司114年第4季財務與業務營運相關資訊報告","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.holtek.com.tw/page/investor_relations/Shareholders_Services/Investor_Conference",法說會影音連結資訊:未輸 ,"無","查詢"
"6409","旭隼","115/02/05","12:30","台北W飯店
110台北市信義區忠孝東路五段10號","本公司受邀參加 Nomura HK 所舉辦之『Nomura Asia Tech Tour 2026』，會中介紹公司之營運與財務狀況。","640920251111M001.pdf","640920251111E001.pdf","","","無","查詢"
"6409","旭隼","115/02/02","14:00","UBS Securities Taipei
台北市信義區松仁路7號5F","本公司受邀參加瑞銀證券所舉辦之『UBS Taiwan Pre-Lunar New Year Corporate Day 2026』，會中介紹公司之營運與財務狀
況。","640920251111M001.pdf","640920251111E001.pdf","","","無","查詢"
"6770","力積電","115/02/05","15:00","線上","(1)本公司2025年第四季財務暨營運報告。
(2)參加方式：https://www.itvcloud.org/Investor/Live/Index/psmc","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.powerchip.com/",同步收看網址：:https://www.itvcloud.org/Investor/Live/Index/psmc 法說會影音連結資訊:未輸 ,"無。","查詢"
"6789","采鈺","115/02/12","15:00","線上法人說明會","(1) 公布本公司2025年第4季財務報告及業績展望。
(2) 參加方式：請參見
https://www.viseratech.com/tw/investor/operation-report/","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.viseratech.com/tw/investor/operation-report/",同步收看網址：:https://webpage-ott2b.cdn.hinet.net/webpage/live?contentProvider=viseratech 法說會影音連結資訊:未輸 ,"無","查詢"
"6919","康霈*","115/02/06","14:00","線上法人說明會。","(1)公告本公司115年2月6日受邀參加元大證券舉辦之線上法人說明會，並將於會中說明本公司營運進展。 
(2)本次法說會採線上報名，有意參加者請至以下網址報名。 
https://www.surveycake.com/s/zpxQo","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","","","無。","查詢"
"7799","禾榮科","115/02/02","09:00","香港","本公司受邀參加高盛(Goldman Sachs)舉辦之「Non-Deal Roadshow」","779920260116M001.pdf","779920260116E001.pdf","https://www.heron-neutron.com/investors/conference","","無","查詢"
"8081","致新","115/02/10","14:00","線上法說會","本公司受邀參加合作金庫證券股份有限公司所舉辦之線上法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","","","報名網址:https://forms.gle/WPQ7WpDqh7dQu1Vr9","查詢"
